id;question;correct_answer;incorrect_answer_1;incorrect_answer_2;incorrect_answer_3;difficulty;module_id;explanation;status
5;Wie nennt man von Gletschern transportierten Gesteinsschutt?;Moräne;Muräne;Morelle;Murnau;2;1;Moräne ist der Begriff für Gesteinsschutt, der von einem Gletscher transportiert wurde. Diese Ablagerungen entstehen durch den Transport und die Ablagerung von Gesteinsmaterial während der Bewegung des Gletschers. Moränen können verschiedene Formen annehmen und sind wichtige geologische Merkmale in Gletscherlandschaften.;published
25;Welches Gewürz ist auch als `flüssiges Gold` bekannt und wird oft in der mediterranen Küche verwendet?;Olivenoel;Thymian;Rosmarin;Oregano;2;1;"Olivenöl wird oft als ""flüssiges Gold"" bezeichnet und ist ein wichtiges Element in der mediterranen Küche. Es wird aus Olivenfrüchten gewonnen und ist reich an ungesättigten Fettsäuren, was es zu einer gesunden Wahl für die Ernährung macht. Olivenöl ist auch in der Kultur des Mittelmeerraums tief verwurzelt.";published
27;Welcher berühmte Physiker formulierte die Relativitätstheorie?;Albert Einstein;Isaac Newton;Galileo Galilei;Stephen Hawking;2;1;Albert Einstein formulierte die Relativitätstheorie. Diese bahnbrechende Theorie, die 1905 und 1915 veröffentlicht wurde, revolutionierte unser Verständnis von Raum, Zeit und Gravitation. Einstein wurde für seine Beiträge zur theoretischen Physik mit dem Nobelpreis ausgezeichnet und ist eine der bedeutendsten Persönlichkeiten in der Geschichte der Wissenschaft.;published
28;Welche Hauptfarben ergeben sich durch die Mischung der Primärfarben Rot, Blau und Gelb?;Rot, Blau, Gelb;Türkis, Magenta, Gelb;Schwarz, Weiß, Grau; Grün, Violett, Orange;2;1;Die Mischung der Primärfarben Rot, Blau und Gelb ergibt die Sekundärfarben Grün, Orange und Violett. Dieses Prinzip basiert auf dem Farbkreis und den grundlegenden Prinzipien der additiven Farbmischung.;published
29;Welches bekannte Naturphänomen tritt auf, wenn Sonnenlicht durch Wassertropfen in der Atmosphäre gebrochen und reflektiert wird?;Regenbogen;Nordlicht;Halo-Effekt;Meteoritenschauer;2;1;Ein Regenbogen entsteht, wenn Sonnenlicht durch Regentropfen gebrochen, reflektiert und intern reflektiert wird. Der sichtbare Regenbogen besteht aus verschiedenen Farben, die durch die Lichtbrechung und Reflexion in den Wassertropfen erzeugt werden. Der Regenbogen ist ein faszinierendes optisches Phänomen und wird oft mit Hoffnung und Schönheit assoziiert.;published
30;Welches Instrument wird oft mit dem Jazz assoziiert und erzeugt Töne durch das Anschlagen von Saiten mit einem Plektrum?;Gitarre;Klavier;Trompete;Saxophon;2;1;Die Gitarre wird oft mit Jazzmusik in Verbindung gebracht und erzeugt Töne durch das Anschlagen von Saiten mit den Fingern oder einem Plektrum. Die Vielseitigkeit der Gitarre hat sie zu einem beliebten Instrument in verschiedenen Musikgenres gemacht, einschließlich Jazz, Blues und Rock.;published
35;Welches chemische Element hat das Symbol Au auf dem Periodensystem und wird oft zur Herstellung von Schmuck verwendet?;Gold;Silber;Platin;Kupfer;2;1;Das chemische Element mit dem Symbol Au ist Gold, ein edles Metall, das häufig für Schmuck verwendet wird. Gold ist aufgrund seiner Beständigkeit, Schönheit und Seltenheit seit Jahrtausenden als wertvolles Material geschätzt. Es hat auch historische Bedeutung in vielen Kulturen und wird als Währung und Wertaufbewahrungsmittel genutzt.;published
38;Welches astronomische Phänomen tritt auf, wenn der Mond zwischen der Sonne und der Erde steht und das Sonnenlicht blockiert?;Sonnenfinsternis;Mondfinsternis;Haloschein;Kometenschweif;2;1;Eine Sonnenfinsternis tritt auf, wenn der Mond die Sonne verdeckt und ihr Schatten auf die Erde fällt. Dieses beeindruckende Himmelsereignis kann total oder partiell sein, abhängig von der Position des Beobachters auf der Erde. Sonnenfinsternisse faszinieren die Menschheit seit jeher und haben kulturelle, wissenschaftliche und mythologische Bedeutung.;published
91;Was durften Männer ihren Ehefrauen in Deutschland bis 1977 rechtlich verbieten;Erwerbsarbeit;Autofahren;Wahlrecht;Rauchen;2;1;Bis 1977 durften verheiratete Frauen in Deutschland ohne Zustimmung ihres Ehemannes keine Erwerbsarbeit aufnehmen. Dies spiegelt historische gesellschaftliche Normen wider, die die Rolle von Frauen auf häusliche Pflichten beschränkten und ihre wirtschaftliche Unabhängigkeit einschränkten. Die Änderung dieser Gesetze markierte einen Schritt in Richtung Gleichberechtigung.;published
97;Welche Farbe hat das Blut eines Tintenfisches?;Blau;Grün;Gelb;Rot;2;1;Das Blut eines Tintenfisches ist aufgrund des darin enthaltenen blauen Kupfers blau. Im Gegensatz zu den meisten Wirbeltieren, die Eisen für ihren Sauerstofftransport verwenden, verwenden Tintenfische Kupfer, was ihrem Blut eine bläuliche Färbung verleiht. Diese Anpassung erleichtert den Sauerstofftransport in den kalten Tiefen des Ozeans, in denen viele Tintenfische leben.;published
26;Welcher Planet ist der vierte in unserem Sonnensystem, auch als der Rote Planet bekannt?;Mars;Venus;Jupiter;Saturn;3;1;"Der Mars ist der vierte Planet in unserem Sonnensystem und wird oft als der ""Rote Planet"" bezeichnet. Seine rötliche Färbung verdankt er dem Eisenoxid (Rost) auf seiner Oberfläche. Der Mars hat die Menschheit seit jeher fasziniert und ist ein Ziel für Raumforschung und mögliche zukünftige bemannte Missionen.";published
32;Welcher berühmte Schriftsteller schuf die Figur Sherlock Holmes?;Sir Arthur Conan Doyle;Charles Dickens;Agatha Christie;J.K.Rowling;3;1;Sir Arthur Conan Doyle ist der Schriftsteller, der die Figur Sherlock Holmes schuf, einen berühmten fiktiven Detektiv. Sherlock Holmes ist eine der bekanntesten literarischen Figuren und hat einen enormen Einfluss auf das Genre der Kriminalliteratur gehabt. Doyle schuf Holmes im späten 19. Jahrhundert, und die Geschichten um ihn sind zeitlos beliebt.;published
33;Welcher Ozean ist der größte der Welt?;Pazifischer Ozean;Atlantischer Ozean;Indischer Ozean;Südlicher Ozean;3;1;Der Pazifische Ozean ist der größte Ozean der Welt und umfasst mehr Fläche als alle anderen Ozeane zusammen. Er erstreckt sich über den größten Teil des Pazifischen Beckens und spielt eine entscheidende Rolle im globalen Klimasystem sowie im ökologischen Gleichgewicht der Erde.;published
37;Welche bekannte Naturkatastrophe wird durch das abrupte Verschieben von Erdplatten verursacht und führt oft zu Erdbeben?;Plattentektonik;Tsunami;Vulkanausbruch;Tornado;3;1;Die Plattentektonik ist ein geologisches Konzept, das beschreibt, wie die äußere Schale der Erde aus verschiedenen großen Platten besteht, die auf der darunter liegenden, zähflüssigen Asthenosphäre schwimmen. Das abrupte Verschieben dieser Platten kann zu Naturkatastrophen wie Erdbeben, Vulkanausbrüchen und Gebirgsbildung führen. Die Plattentektonik ist ein grundlegendes Prinzip in der Geowissenschaft, das die Dynamik der Erdkruste erklärt.;published
39;Welcher weltbekannte Komponist ist für seine neunte Sinfonie, die Ode an die Freude, bekannt?;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Johann Sebastian Bach;Franz Schubert;3;1;"Ludwig van Beethoven, ein herausragender deutscher Komponist und Pianist der späten Wiener Klassik, ist für seine neunte Sinfonie bekannt, die als ""Ode an die Freude"" (Ode to Joy) bezeichnet wird. Dieses Meisterwerk ist eines der bekanntesten und häufig aufgeführten Werke in der klassischen Musikgeschichte. Beethovens Beitrag zur Musik reicht weit über seine Zeit hinaus und hat einen nachhaltigen Einfluss auf die Entwicklung der Musik gehabt.";published
88;Welche Prämie bekamen die deutschen Fuballspielerinnnen vom Deutschen Fußball-Bund (DFB), als sie 1989 erstmals die EM gewannen.;Teeservice;Waschmaschine;200 DM pro Spielerin;Reisegutscheine;3;1;Als die deutschen Fußballspielerinnen 1989 erstmals die Europameisterschaft (EM) gewannen, erhielten sie vom Deutschen Fußball-Bund (DFB) kein traditionelles Preisgeld, sondern einen symbolischen Teeservice. Diese Entscheidung wurde kontrovers diskutiert und steht als Beispiel für geschlechtsspezifische Unterschiede und Herausforderungen im Profisport, insbesondere im Frauenfußball.;published
89;Von 100 Kindern , deren beide Elternteile nicht studiert haben,;studieren 21 an einer Hochschule;beenden 21 einen Bachelor;beenden 21 einen Master;beenden 21 eine Promotion;3;1;Diese Aussage gibt an, wie viele von 100 Kindern, deren beide Elternteile nicht studiert haben, an einer Hochschule studieren. Es könnte auf statistische Daten oder Studien hinweisen, die den Bildungszugang in Bezug auf die Bildungshintergründe der Eltern untersuchen. Die Zahl 21 repräsentiert den Prozentsatz oder den Anteil der Kinder aus dieser spezifischen Gruppe, die den Weg zur Hochschulbildung eingeschlagen haben.;published
90;Welches Land weißt das höchste Gender Pay Gap auf;Estland;Deutschland;Finnland;Italien;3;1;Estland wird hier als das Land genannt, das das höchste Gender Pay Gap aufweist. Das Gender Pay Gap bezieht sich auf den Unterschied im durchschnittlichen Einkommen zwischen Männern und Frauen. Diese Aussage könnte auf aktuelle oder historische wirtschaftliche Daten hinweisen, die die geschlechtsspezifische Einkommensungleichheit in Estland verdeutlichen. Die Analyse solcher Daten ist wichtig, um auf geschlechtsspezifische Ungleichheiten aufmerksam zu machen.;published
96;Was ist die größte Planet in unserem Sonnensystem?;Jupiter;Mars;Saturn;Venus;3;1;Jupiter ist der größte Planet in unserem Sonnensystem. Er ist ein Gasriese und hat eine erheblich größere Masse als alle anderen Planeten zusammen. Jupiter hat auch einen starken Einfluss auf die Dynamik des Sonnensystems und spielt eine wichtige Rolle bei der Beeinflussung von Umlaufbahnen anderer Himmelskörper. Seine markante Atmosphäre und seine großen Sturmzonen machen ihn zu einem faszinierenden Objekt in der Astronomie.;published
98;"Wer ist der Autor des Buches ""1984""?";George Orwell;Aldous Huxley;Ray Bradbury;J.K. Rowling;3;1;"George Orwell ist der Autor des Buches ""1984"". Das dystopische Werk wurde im Jahr 1949 veröffentlicht und ist eine kritische Betrachtung totalitärer Regimes und Überwachung. ""1984"" hat einen nachhaltigen Einfluss auf die Literatur und die Diskussion über Freiheit, Privatsphäre und politische Macht ausgeübt. Orwell schuf mit diesem Werk eine düstere Vision einer möglichen Zukunft, die bis heute relevant ist.";published
7;Eine Bitfolge besteht aus ... ;einer Abfolge der Symbole 0 und 1.;einer Abfolge der Symbole A und B.;einer Abfolge der Symbole 1 und 2.;einer Abfolge der Symbole 0 und 2;1;2;"Eine Bitfolge besteht aus einer Abfolge der Symbole 0 und 1. Der Begriff ""Bit"" steht für ""binary digit"" und repräsentiert die kleinste Informationseinheit in der digitalen Datenverarbeitung. Die Abfolge von 0 und 1 in Bitfolgen bildet die Grundlage für die digitale Darstellung von Informationen, Codes und Daten in Computern.";published
8;Mit dem Begriff Softwaretechnik ...;wird sowohl die Erstellung als auch die Anwendung von umfangreichen Softwaresystemen bezeichnet.;wird eine 145 Jahre alte Ingenieursdisziplin bezeichnet.;wird eine leichte Akrobatik-Fertigkeit bezeichnet.;wird ein Computermodell beschrieben.;1;2;Softwaretechnik bezeichnet den systematischen Ansatz, der sowohl die Erstellung als auch die Anwendung von umfangreichen Softwaresystemen umfasst. Dieser Bereich der Informatik umfasst die Planung, Entwicklung, Implementierung und Wartung von Software mit dem Ziel, qualitativ hochwertige und effiziente Softwareprodukte zu schaffen. Softwaretechnik beinhaltet Methoden, Werkzeuge und bewährte Praktiken für einen effektiven Softwareentwicklungsprozess.;published
11;Welcher der folgenden Modelle wird häufig zur Softwareentwicklung verwendet, um den Entwicklungsprozess in mehrere Phasen zu unterteilen und die Rückkopplung zwischen diesen Phasen zu ermöglichen?;Wasserfallmodell;Chaos-Modell;Monolithisches Modell;Spaghettimodell;1;2;Das Wasserfallmodell ist ein Softwareentwicklungsmodell, das häufig verwendet wird, um den Entwicklungsprozess in mehrere Phasen zu unterteilen und die Rückkopplung zwischen diesen Phasen zu ermöglichen. Die Phasen umfassen Planung, Analyse, Entwurf, Implementierung, Tests und Wartung. Jede Phase baut auf den Ergebnissen der vorherigen auf, und Veränderungen werden nur schwer umgesetzt, wodurch eine klare Struktur im Entwicklungsprozess entsteht.;published
15;Welche agile Entwicklungsmethode betont die enge Zusammenarbeit zwischen Kunden, Entwicklern und Tester während des gesamten Softwareentwicklungsprozesses?;Scrum;Kanban;Extreme Programming;Feature-Driven Development;1;2;Scrum ist eine agile Entwicklungsmethode, die die enge Zusammenarbeit zwischen Kunden, Entwicklern und Testern während des gesamten Softwareentwicklungsprozesses betont. Diese Methode fördert eine flexible und iterative Vorgehensweise, um auf sich ändernde Anforderungen schnell reagieren zu können. Scrum basiert auf kurzen Entwicklungszyklen, den sogenannten Sprints, und regelmäßigen Treffen, um den Fortschritt zu überprüfen.;published
19;Welches Muster in der Softwareentwicklung ermöglicht es, eine Schnittstelle für eine Gruppe von Algorithmen zu definieren und diese Algorithmen austauschbar zu machen, ohne die Klienten, die sie verwenden, zu ändern?;Strategiemuster;Beobachtermuster;Fassadenmuster;Dekorierermuster;1;2;Das Strategiemuster in der Softwareentwicklung ermöglicht es, eine Schnittstelle für eine Gruppe von Algorithmen zu definieren und diese Algorithmen austauschbar zu machen, ohne die Klienten, die sie verwenden, zu ändern. Dies fördert Flexibilität und Erweiterbarkeit in einem System, indem verschiedene Algorithmen dynamisch ausgewählt oder ausgetauscht werden können, abhängig von den Anforderungen oder Bedingungen.;published
20;Welches Testing-Konzept bezieht sich darauf, dass ein Programm oder eine Funktion bei bestimmten Eingaben immer das gleiche erwartete Ergebnis liefert?;Deterministisches Testen;Black-Box-Testing;White-Box-Testing;Funktionstests;1;2;Deterministisches Testen bezieht sich darauf, dass ein Programm oder eine Funktion bei bestimmten Eingaben immer das gleiche erwartete Ergebnis liefert. Dieses Konzept ist wichtig, um die Stabilität und Zuverlässigkeit von Software sicherzustellen, da vorhersehbare Ergebnisse bei festen Eingaben eine konsistente Funktionalität gewährleisten. Deterministisches Testen hilft, Fehler frühzeitig zu erkennen und eine konsistente Leistung sicherzustellen.;published
21;Welcher Begriff beschreibt den Prozess der Umwandlung von Programmcode in eine für die Ausführung geeignete Form?;Kompilierung;Interpretation;Linking;Assemblierung;1;2;Kompilierung ist der Prozess der Umwandlung von Programmcode, der in einer Hochsprache geschrieben ist, in eine für die Ausführung geeignete Form. Der Compiler übersetzt den Quellcode in Maschinencode oder eine andere Zwischendarstellung, die vom Computerprozessor verstanden werden kann. Dieser Schritt ist entscheidend, damit ein Computerprogramm ausgeführt werden kann, und es ermöglicht eine effiziente Ausführung auf verschiedenen Plattformen.;published
22;Welche Datenstruktur wird verwendet, um Elemente in einem Last-In-First-Out (LIFO)-Prinzip zu verwalten?;Stack;Queue;List;Tree;1;2;Ein Stack ist eine Datenstruktur, die verwendet wird, um Elemente in einem Last-In-First-Out (LIFO)-Prinzip zu verwalten. Das bedeutet, dass das zuletzt hinzugefügte Element als erstes entfernt wird. Ein Stack wird häufig in der Programmierung verwendet, um den Aufruf von Funktionen zu verfolgen (Aufrufstapel) oder um temporäre Daten zu speichern, die später in umgekehrter Reihenfolge abgerufen werden sollen.;published
24;Welche Phase im Softwareentwicklungslebenszyklus beinhaltet das Identifizieren, Entwerfen und Spezifizieren von Softwarekomponenten?;Entwurf;Analyse;Implementierung;Testen;1;2;Die Entwurfsphase im Softwareentwicklungslebenszyklus beinhaltet das Identifizieren, Entwerfen und Spezifizieren von Softwarekomponenten. In dieser Phase werden die Anforderungen aus der Analyse in detaillierte Entwurfspläne umgesetzt. Dies umfasst die Definition von Datenstrukturen, Algorithmen, Schnittstellen und anderen wichtigen Aspekten, um die Grundlage für die Implementierung zu schaffen. Ein guter Entwurf ist entscheidend für die Entwicklung qualitativ hochwertiger Software.;published
78;Die BooleÂ´schen Operatoren;sind UND,NICHT und ODER;sind grundsätzlich 2-stellige Operatoren in einer algebraischen Struktur mit den Elementen 0 und 1.;sind A,B oder C;sind Ausdrücke denen Wahrheitswerte zugeordnet werden können;1;2;"Die Boole'schen Operatoren sind grundlegende logische Operatoren, die in der Booleschen Algebra verwendet werden. ""UND"" (AND) verknüpft zwei Aussagen und ergibt true, wenn beide wahr sind. ""NICHT"" (NOT) invertiert eine Aussage. ""ODER"" (OR) ergibt true, wenn mindestens eine der Aussagen wahr ist. Diese Operatoren sind grundlegend für logische Ausdrücke und werden in vielen Bereichen der Informatik, einschließlich der Programmierung, verwendet.";published
6;Was ist ein Betriebssystem?;Eine Art von Computer-Programm, das die Hardware des Computers verwaltet.;Ein Programm, das die Daten auf einem Computer speichert.;Ein Programm, das die Geschwindigkeit des Computers erhöht.;Ein Programm, das den Computer vor Viren schützt.;2;2;Ein Betriebssystem ist eine Software, die die Hardware eines Computers verwaltet und die Schnittstelle zwischen Benutzeranwendungen und der Computerhardware bildet. Es ermöglicht die Ausführung von Anwendungsprogrammen, Ressourcenverwaltung, Dateisystemzugriff, Prozesssteuerung und andere grundlegende Funktionen. Ein Betriebssystem ist unerlässlich für den reibungslosen Betrieb eines Computers und bildet die Grundlage für die Ausführung verschiedener Anwendungen.;published
10;Wie lautet die Reihenfolge der Phasen im Softwarelebenszyklus?;Planung, Entwicklung, Betrieb, Wartung und Abschaltung;Entwicklung, Planung, Wartung, Betrieb und Abschaltung;Planung, Betrieb, Entwicklung, Wartung und Abschaltung;Planung, Entwicklung, Wartung, Betrieb und Abschaltung;2;2;Die Reihenfolge der Phasen im Softwarelebenszyklus ist: 1. Planung: Festlegung der Ziele, Anforderungen und Ressourcen. 2. Entwicklung: Schreiben des Codes und Implementierung. 3. Betrieb: Bereitstellung der Software für Benutzer. 4. Wartung: Aktualisierungen, Fehlerbehebungen und Verbesserungen. 5. Abschaltung: Ausphasen oder ersetzen der Software. Diese Phasen stellen sicher, dass Software effektiv entwickelt, implementiert und über ihren gesamten Lebenszyklus gepflegt wird.;published
16;Welcher Begriff beschreibt die Praxis, einen Entwicklungsprozess in kleinere, wiederholbare und inkrementelle Teile aufzuteilen, um flexibler auf Änderungen reagieren zu können?;Iterative Entwicklung;Refactoring;Continuous Integration;Code Review;2;2;Iterative Entwicklung beschreibt die Praxis, einen Entwicklungsprozess in kleinere, wiederholbare und inkrementelle Teile aufzuteilen, um flexibler auf Änderungen reagieren zu können. Anstatt einen umfassenden Plan zu erstellen, werden Teile des Projekts in Zyklen entwickelt und anschließend überarbeitet oder erweitert. Diese iterative Vorgehensweise ermöglicht eine bessere Anpassung an sich ändernde Anforderungen und verbessert die Qualität des Endprodukts.;published
23;Welches Konzept in der objektorientierten Programmierung bezieht sich darauf, dass eine Klasse mehrere Methoden mit dem gleichen Namen haben kann, aber unterschiedliche Parameter?;Overloading;Overriding;Inheritance;Abstraction;2;2;Overloading in der objektorientierten Programmierung bezieht sich darauf, dass eine Klasse mehrere Methoden mit dem gleichen Namen haben kann, aber unterschiedliche Parameter. Dies ermöglicht es, Funktionen mit demselben Namen aufzurufen, aber je nach Kontext oder Eingaben unterschiedliche Aktionen auszuführen. Method Overloading trägt zur Flexibilität und Lesbarkeit des Codes bei, indem es verschiedene Eingabetypen oder -muster unterstützt.;published
76;Betriebliche Informationssysteme...;sind gewerblich eingesetzte Softwaresysteme zusammen mit deren Systemkontext.;werden ausschließlich von sehr großen von Organisationen zur Erreichung des Zwecks der Organisationen eingesetzt.;lassen sich standardisiert immer in genau vier verschiedene Systemklassen einteilen.;sind Branchenunabhängig standardisierbar;2;2;Betriebliche Informationssysteme sind gewerblich eingesetzte Softwaresysteme zusammen mit deren Systemkontext. Diese Systeme unterstützen betriebliche Abläufe und Entscheidungsprozesse in Unternehmen. Sie umfassen verschiedene Anwendungen wie Enterprise Resource Planning (ERP), Customer Relationship Management (CRM) und andere, die zur effizienten Verwaltung von Ressourcen und Informationen in Unternehmen beitragen.;published
77;Der Bus einer Von-Neumann-Architektur;verbindet die Komponenten Speicher und CPU miteinander.;wird genutzt um Daten, jedoch keine Programme, vom Speicher in das Steuerwerk zu laden.;wird genutzt um Programme, jedoch keine Daten, vom Speicher in das Steuerwerk zu laden.;ist ein optionaler Bestandteil der Architektur;2;2;In einer Von-Neumann-Architektur verbindet der Bus die Komponenten Speicher und CPU miteinander. Dieses Konzept beschreibt eine klassische Computerarchitektur, bei der sowohl Programm- als auch Dateninformationen im gleichen Speicher abgelegt sind und über denselben Bus zwischen CPU und Speicher übertragen werden. Die Von-Neumann-Architektur ist eine grundlegende Struktur vieler moderner Computer.;published
79;In einem verteilten System ist ein Server...;ein Rechner, der Funktionen anbietet, auf die andere Rechner über ein Kommunikationsnetz zugreifen können.;für die Ermittlung der optimalen Route eines Datenpakets durch das Kommunikationsnetz verantwortlich.;ein Rechner, der über ein Kommunikationsnetz immer mit genau einem Client verbunden ist.;ein Datenpaket;2;2;In einem verteilten System fungiert ein Server als Rechner, der Dienste oder Ressourcen bereitstellt, auf die andere Rechner über ein Kommunikationsnetzwerk zugreifen können. Dies ermöglicht die verteilte Verarbeitung von Aufgaben und Ressourcennutzung.;published
81;Welche der nachfolgenden Aussagen ist bzw. sind richtig?;Die Protokolle der Anwendungsschicht von TCP/IP und OSI enthalten anwendungsabhängige Vorschriften zum Aufbau und Austausch von Nachrichten.;Die technischen Komponenten zur Datenvermittlung in Netzen arbeiten auf Ebene der Transportschicht.;In der Transportschicht werden die Nachrichten aus den unteren Schichten in kleinere Einheiten aufgeteilt und an die höheren Schichten, z. B. die Anwendungsschicht übergeben.;;2;2;Die Protokolle der Anwendungsschicht in den Netzwerkmodellen TCP/IP und OSI enthalten anwendungsabhängige Regeln, die den Aufbau und Austausch von Nachrichten zwischen Anwendungen auf verschiedenen Endsystemen regeln. Das ermöglicht die Interaktion zwischen Anwendungen unabhängig von der Netzwerkinfrastruktur.;published
82;Nach der erfolgreichen Auslieferung von Softwaresystemen... ;besteht das Risiko, dass durch Änderungen im System Fehler erzeugt werden, die es bei der Auslieferung nicht gab.;können Wartungsarbeiten immer kostengünstig durchgeführt werden.;gibt es keine Risiken mehr.;endet der Softwarelebenszyklus;2;2;Nach erfolgreicher Auslieferung von Softwaresystemen besteht das Risiko, dass durch spätere Änderungen im System neue Fehler eingeführt werden, die zum Zeitpunkt der Auslieferung nicht vorhanden waren. Dies unterstreicht die Notwendigkeit sorgfältiger Systempflege und Aktualisierungen.;published
83;Der Erstellungsprozess von betrieblichen Informationssystemen…;ist ein stark erkenntnisgetriebener Prozess.;kann in der Regel exakt geplant werden.;bleibt von wirtschaftliche und technologische Unsicherheiten unberührt;folgen einem starren Muster;2;2;Der Erstellungsprozess von betrieblichen Informationssystemen ist stark erkenntnisgetrieben, da während der Entwicklung und Implementierung viele Erkenntnisse über die Anforderungen, Prozesse und Probleme des Unternehmens gewonnen werden. Es ist oft notwendig, Anpassungen vorzunehmen und die Systeme an veränderte Anforderungen anzupassen.;published
9;Welche der nachfolgenden Aussagen zu Zielkonflikten im Software Engineering ist richtig? ;Der Fokus auf eine bestimmte Zielgröße hat Auswirkungen auf die Erreichung der anderen Zielgrößen.;Wenn nach Beginn eines Projekts alle Anforderungen an das System bekannt sind, ändern sich die Zielgrößen nicht mehr.;Kundenzufriedenheit ist ein wichtiges Ziel, jedoch im Vergleich zu den Zielen Kosten, Termin und Qualität nicht das wichtigste Ziel.;Ein Software-Projekt ist nur dann erfolgreich, wenn es keine Zielkonflikte besitzt;3;2;Zielkonflikte im Software Engineering entstehen, wenn die Fokussierung auf eine bestimmte Zielgröße Auswirkungen auf andere Zielgrößen hat. Zum Beispiel könnte die Optimierung der Benutzerfreundlichkeit zu Lasten der Systemleistung gehen. Die Abwägung verschiedener Ziele ist eine Herausforderung bei der Softwareentwicklung.;published
13;Welches Prinzip in der Softwareentwicklung besagt, dass eine Klasse sollte nur einen Grund haben, sich zu ändern, und dass eine Klasse nur eine Verantwortung übernehmen sollte?;Single Responsibility Principle (SRP);Open/Closed Principle (OCP);Liskov Substitution Principle (LSP);Dependency Inversion Principle (DIP);3;2;Das Single Responsibility Principle (SRP) besagt, dass eine Klasse nur einen Grund zur Änderung haben sollte und nur eine klare Verantwortung übernehmen sollte. Dies fördert eine klare Struktur und erleichtert die Wartung von Software, da Änderungen aufgrund einer bestimmten Anforderung lokal begrenzt sind.;in_progress
